NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100000001,01001,종로2가사거리,126.987752,37.569808
100000002,01002,창경궁.서울대학교병원,126.996522,37.579433
100000003,01003,명륜3가.성대입구,126.998251,37.582581
100000004,01004,종로2가.삼일교,126.9876131,37.56857927
100000005,01005,혜화동로터리.여운형활동터,127.001744,37.586243
101000305,01006,서대문역사거리,126.966893,37.566137
100000380,01007,서울역사박물관.경희궁앞,126.97038,37.569135
100000379,01008,서울역사박물관.경희궁앞,126.97076,37.569515
100000384,01009,광화문,126.976357,37.570142
100000385,01010,광화문,126.9778895,37.57026794
100000386,01011,종로1가,126.9810661,37.57014825
100000387,01012,종로1가,126.98163,37.570271
100000388,01013,종로2가,126.984991,37.57017
100000389,01014,종로2가,126.986536,37.570238
100000390,01015,종로3가.탑골공원,126.989269,37.57025677
100000391,01016,종로3가.탑골공원,126.9899878,37.57036054
100000392,01017,종로4가.종묘,126.9947219,37.570507
100000393,01018,종로4가.종묘,126.995396,37.570637
100000394,01019,종로5가.광장시장,126.999061,37.570787
100000395,01020,종로5가.광장시장,126.999606,37.570931
100000396,01021,종로6가.동대문종합시장,127.004464,37.57101
100000397,01022,종로6가.동대문종합시장,127.0057137,37.57112723
100000398,01023,동대문역.흥인지문,127.013813,37.572449
100000365,01037,동대문(흥인지문),127.012453,37.572102
100000366,01041,동묘앞,127.0185893,37.57385218
100000367,01044,동묘앞,127.0195286,37.57428153
100000006,01101,경기상고,126.9693635,37.58755022
100000007,01102,신교동,126.9702627,37.58329552
100000008,01103,경기상고,126.9697701,37.58719079
100000009,01104,경복고교,126.970884,37.58516
100000010,01105,청운중학교,126.972673,37.587809
100000011,01106,자하문고개.윤동주문학관,126.9671262,37.59218662
100000012,01107,자하문고개.윤동주문학관,126.9671907,37.59233532
100000013,01108,청운중학교,126.972266,37.588421
100000014,01109,경복고교,126.971404,37.585067
100000015,01110,통인시장종로구보건소,126.97105,37.5803257
100000016,01111,통인시장종로구보건소,126.9713851,37.58051321
100000017,01112,효자동,126.970621,37.58309104
100000018,01113,사직단.어린이도서관,126.9679907,37.57513553
100000019,01114,경복궁역1번출구,126.971415,37.576162
100000020,01115,경복궁역,126.972198,37.577038
100000021,01116,경복궁역,126.9722829,37.57767139
100000022,01117,경복궁,126.9787471,37.57557679
100000023,01118,KT광화문지사,126.9774187,37.57220974
100000415,01119,국립고궁박물관,126.973979,37.578928
100000025,01120,광화문,126.976408,37.570045
100000026,01121,광화문.금호아시아나본관앞,126.9741676,37.57004915
100000027,01122,서울역사박물관.경교장.강북삼성병원,126.9713911,37.56970191
100000028,01123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023
100000029,01124,광화문.금호아시아나본관앞,126.972839,37.570332
100000030,01125,광화문,126.975837,37.570365
100000031,01126,세종문화회관,126.976997,37.573648
100000032,01127,서울경찰청.경복궁역,126.9714843,37.57574466
100000033,01128,사직단,126.968189,37.57485535
100000034,01129,광화문.광화문빌딩,126.976545,37.569495
100000035,01130,덕성여중고,126.981972,37.575768
100000036,01131,안국역.서울공예박물관,126.9839958,37.57606956
100000037,01132,국민은행세검정지점,126.960888,37.60466298
100000038,01133,세검정초등학교,126.9612198,37.60250228
100000039,01134,세검정.상명대,126.958292,37.600477
100000040,01135,상명대입구.석파랑,126.9585702,37.59941335
100000041,01136,하림각,126.9617068,37.59813307
100000042,01137,자하문터널입구.석파정,126.9636435,37.59559351
100000043,01138,부암동주민센터.무계원,126.96422,37.592766
100000044,01139,부암동주민센터.무계원,126.9651419,37.59278617
100000045,01140,자하문터널입구.석파정,126.9639776,37.59555757
100000046,01141,하림각,126.9622153,37.59814765
100000047,01142,상명대입구.세검정교회,126.9592406,37.59961633
100000048,01143,세검정.상명대,126.959155,37.600648
100000049,01144,세검정초등학교,126.9614329,37.60226807
100000051,01146,국민은행세검정지점,126.961195,37.604846
100000053,01148,승가사입구,126.956306,37.61158441
100000054,01149,구기동현대빌라,126.9564576,37.6100355
100000055,01150,구기터널.삼성출판박물관,126.9562103,37.60860989
100000056,01151,구기터널.삼성출판박물관,126.9564167,37.6083054
100000057,01152,구기동,126.9585298,37.60696445
100000058,01153,구기동,126.9591017,37.6070088
100000059,01154,승가사입구,126.956482,37.61148
100000060,01155,갑을씨티텔앞,126.963535,37.60437097
100000061,01156,평창파출소,126.9660433,37.60532237
100000062,01157,평창동주민센터,126.9695663,37.60660737
100000063,01158,일성아파트,126.972925,37.608873
100000064,01159,롯데아파트,126.976317,37.61039
100000065,01160,롯데아파트,126.976652,37.610248
100000066,01161,벽산평창힐스아파트,126.972797,37.60819
100000067,01162,예능교회,126.97,37.606517
100000068,01163,서울예술고등학교.평창동주민센터,126.9676276,37.60577876
100000069,01164,화정박물관,126.9648103,37.60450382
100000376,01165,강북삼성병원,126.9686005,37.56814593
100000071,01166,독립문역,126.9575196,37.57496192
100000072,01167,독립문역.서대문형무소역사관,126.959322,37.573395
100000073,01168,서대문.서울시교육청,126.9645273,37.56825381
100000368,01169,서대문역사거리.적십자병원,126.9675878,37.56710815
100000074,01170,독립문,126.9628375,37.56995275
100000075,01171,독립문,126.96143,37.571342
100000076,01172,창덕궁.서울돈화문국악당,126.9885394,37.57754057
100000077,01173,서린동.SK서린빌딩,126.980095,37.569263
100000078,01174,청계1가.광교,126.9849267,37.56868439
100000079,01175,청계2가.수표교,126.99082,37.568442
100000080,01176,청계4가.세운교,126.996555,37.568927
100000081,01177,청계5가.광장시장,126.9997974,37.56945128
100000082,01178,종로5가.광장시장,126.999974,37.57066325
100000083,01179,종로5가,126.999863,37.57065784
100000084,01180,종로4가.종묘,126.9967951,37.57042442
100000085,01181,종로4가.종묘,126.994403,37.57029547
100000086,01182,종로3가역15번출구,126.9908608,37.57009971
100000087,01183,종로3가,126.9889374,37.57001124
100000088,01184,종로2가,126.9879232,37.56926954
100000089,01185,종로2가,126.9874613,37.56923165
100000090,01186,종로2가,126.9864899,37.56996233
100000091,01187,종로2가,126.985437,37.56997031
100000092,01188,종로1가,126.981668,37.570063
100000093,01189,종로1가,126.9803257,37.56998579
100000094,01190,종로1가,126.9814271,37.57036082
100000095,01191,종로1가,126.980187,37.5704
100000096,01192,종로2가,126.9849388,37.57033699
100000097,01193,종로2가,126.9863596,37.57035879
100000098,01194,종로3가,126.9899347,37.57049432
100000099,01195,종로4가.종묘,126.99417,37.57071
100000100,01196,종로4가,126.99562,37.57066767
100000101,01197,종로5가,126.9990558,37.5709588
100000102,01198,원남동,126.9973383,37.57453251
100000103,01199,창덕궁.우리소리박물관,126.988954,37.577272
100000104,01200,안국역.인사동,126.984133,37.575798
100000105,01201,조계사.종로경찰서,126.9831556,37.57252231
100000106,01202,조계사.종로경찰서,126.9828259,37.57248581
100000107,01203,안국동,126.9827201,37.57461057
